(concept_label-concept_in_Eng-MRS_concept ladakA_1 boy_1 _boy_n_1)
(concept_label-concept_in_Eng-MRS_concept eka_1 a_1 _a_q)
(concept_label-concept_in_Eng-MRS_concept kiwAba_1 book_1 _book_n_of)
(concept_label-concept_in_Eng-MRS_concept paDa_2 read_3 _read_v_1)
(concept_label-concept_in_Eng-MRS_concept bagIcA_1 garden_1 _garden_n_1)
(concept_label-concept_in_Eng-MRS_concept vixyAlaya_1 school_2 _school_n_1)
(concept_label-concept_in_Eng-MRS_concept Sahara_1 city_1 _city_n_1)
(concept_label-concept_in_Eng-MRS_concept calacciwra_1 movie_1 _movie_n_of)
(concept_label-concept_in_Eng-MRS_concept xeKa_1 watch_1 _watch_v_1)
(concept_label-concept_in_Eng-MRS_concept KA_1 eat_1 _eat_v_1)
(concept_label-concept_in_Eng-MRS_concept KAnA_2 food_2 _food_n_1)
(concept_label-concept_in_Eng-MRS_concept A_1 come_1 _come_v_1)
(concept_label-concept_in_Eng-MRS_concept le_1 take_1 _take_v_1)
(concept_label-concept_in_Eng-MRS_concept kelA_1 banana_2 _banana_n_1)
(concept_label-concept_in_Eng-MRS_concept Pala_1 fruit_1 _fruit_n_1)
(concept_label-concept_in_Eng-MRS_concept baccA_1 baby_1 _baby_n_1)
(concept_label-concept_in_Eng-MRS_concept paDa_3 study_1 _study_v_1)
(concept_label-concept_in_Eng-MRS_concept nayA_1 new_1 _new_a_1)



